"category","three_level_element","three_level_evidence","two_level_candidate_element","two_level_evidence","mapping_status","no_direct_equivalent","semantic_risk","required_validation"
"memory request message","GETSPEC_Mem traverses every cache and carries origin and LQ index","upstream/master:src/mem/protocol/MESI_Three_Level-L1cache.sm:500-515;src/mem/protocol/MESI_Two_Level-L2cache.sm:489-511","GETSPEC_Mem traverses private L1 and shared L2 and carries origin/index","40b4039:src/mem/protocol/MESI_Two_Level-L1cache.sm:686-703;src/mem/protocol/MESI_Two_Level-L2cache.sm:489-515","adapted","false","Origin/index survival and exactly-one final response are unproven","Memory miss with same-line concurrency and late response"
"perfect request","GETSPEC_Perfect stops at actual hit across four levels","upstream/master:src/mem/protocol/MESI_Three_Level-L0cache.sm:1150-1174;src/mem/protocol/MESI_Three_Level-L1cache.sm:1065-1079","Perfect path stops at actual hit across three physical endpoints","40b4039:src/mem/protocol/MESI_Two_Level-L1cache.sm:704-739;1457-1484","adapted","true","Perfect oracle has a different search space and is not directly comparable","Force hit at each physical endpoint and verify one callback"
"perfect unsafe request","PerfectUnsafe has special transient-state stall behavior at each Three-Level controller","upstream/master:src/mem/protocol/MESI_Three_Level-L1cache.sm:1081-1099;src/mem/protocol/MESI_Two_Level-L2cache.sm:1278-1298","Candidate retains perfect-unsafe handling over fewer levels","40b4039:src/mem/protocol/MESI_Two_Level-L1cache.sm:1457-1484","adapted","true","Transient safety contract can change when a controller is removed","Transient-state directed matrix"
"spec response fields","Messages carry hitAtL0 hitAtL1 hitAtL2 hitAtMem and four candidate data blocks","upstream/master:src/mem/protocol/MESI_Three_Level-msg.sm:62-82","Two-Level messages retain four hit flags and four data blocks as compatibility fields","40b4039:src/mem/protocol/MESI_Two_Level-msg.sm:73-95;113-133","legacy_fields_retained","true","Stale field names can double count or report an impossible physical level","Assert exactly one physical source and normalize logical labels"
"private speculative-data channel","Dedicated L1-to-L0 speculative data MessageBuffer","upstream/master:configs/ruby/MESI_Three_Level.py:170-180","No private L0-to-L1 channel","40b4039:configs/ruby/MESI_Two_Level.py:118-133","removed","true","Queueing and ordering side effects differ","Measure end-to-end callback order rather than copying channel topology"
"virtual networks","L1-to-shared-L2 request response unblock use vnets 0 1 2","upstream/master:src/mem/protocol/MESI_Three_Level-L1cache.sm:50-64","Two-Level L1/shared-L2 uses standard request response unblock network roles","40b4039:configs/ruby/MESI_Two_Level.py:118-166","structurally_similar","false","Removed local channel changes relative arrival order despite same Ruby vnets","Concurrent response and invalidation ordering"
"L0 and L1 TBE","Address transient state data dirty and acknowledgements without load generation","upstream/master:src/mem/protocol/MESI_Three_Level-L0cache.sm:169-177;src/mem/protocol/MESI_Three_Level-L1cache.sm:165-179","Two-Level L1 TBE has address state data dirty prefetch and pending acknowledgements","40b4039:src/mem/protocol/MESI_Two_Level-L1cache.sm:173-181","collapsed","false","No owner generation protects LQ index reuse","Squash late response and recycled-index test"
"shared L2 TBE","Coherence requestor sets plus transient data fields without SDO generation ownership","upstream/master:src/mem/protocol/MESI_Two_Level-L2cache.sm:166-178","Candidate L2 TBE retains requestors but no owner generation","40b4039:src/mem/protocol/MESI_Two_Level-L2cache.sm:166-178","structurally_similar","false","Multiple requestors and speculative origin must conserve responses","Merged-request and requestor-set accounting"
"Sequencer outstanding identity","Speculative table associates line and LQ-derived index","upstream/master:src/mem/ruby/system/Sequencer.cc:376-420","Candidate table uses line and LQ-derived index with old L2 command commented","40b4039:src/mem/ruby/system/Sequencer.cc:376-420","partially_ported","false","Index reuse after squash can alias a late response because no generation is stored","Forced LQ index recycle with delayed response"
"Sequencer target callbacks","Separate L0 L1 L2 and memory hit callbacks","upstream/master:src/mem/ruby/system/Sequencer.cc:931-1150","Private-L1 shared-L2 and memory callbacks remain while L2 is folded","40b4039:src/mem/ruby/system/Sequencer.cc:931-1150","folded","true","Wrapper names can conceal duplicate or missing terminal delivery","Per-target callback counts and exactly-one final callback"
"intermediate and final data","First hit data is carried through intermediate/final packets","upstream/master:src/mem/ruby/system/Sequencer.cc:1283-1546","Candidate preserves copyData carryData confirmPkt and final semantics","40b4039:src/mem/packet.hh:443-456;src/mem/ruby/system/Sequencer.cc:1283-1546","retained_with_remap","false","Multiple packets can receive callbacks and terminal accounting is implicit","Duplicate response injection and total callback conservation"
"ordinary same-line access","Speculative request table has same-line coexistence and collision handling","upstream/master:src/mem/ruby/system/Sequencer.cc:422-480","Candidate preserves coexistence and optional unsafe-contention branch","40b4039:src/mem/ruby/system/Sequencer.cc:422-480","retained","false","Unsafe-contention alternative is marked incorrect and may alter safe access","Safe same-block load during each speculative target"
"data storage","Candidate data travels in message packet and LSQ state; normal SDO avoids SpecBuffer","upstream/master:src/cpu/o3/lsq_unit.hh:1094-1121","Same candidate model; no Nighthawk Stealth line","40b4039:src/cpu/o3/lsq_unit.hh:1094-1121","retained","true","Calling this an auxiliary-buffer or in-cache quarantine baseline would be semantically wrong","Check no SpecBuffer allocation in selected SDO mode"
"forwarding visibility","Early result is held from architectural writeback until expose-ready processing","upstream/master:src/cpu/o3/lsq_unit_impl.hh:2295-2340","Candidate keeps LSQ visibility gate and expose/validate path","40b4039:src/cpu/o3/lsq_unit_impl.hh:2295-2385","retained_but_unvalidated","false","Ruby callback timing after topology collapse may bypass or duplicate expected gate","Response-first and visibility-first tests with dependent wakeup assertion"
"validation","Expose or validate request plus data comparison can trigger re-execution","upstream/master:src/cpu/o3/lsq_unit_impl.hh:2364-2385;3123-3176","Candidate preserves validation code while physical hit-level mapping changed","40b4039:src/cpu/o3/lsq_unit_impl.hh:2364-2385;3123-3176","retained_with_remap","false","Validation can consult a legacy level label or wrong final source","Forced match and mismatch at every physical level"
"squash","LSQ removes load and predictor entry; later squashed completion is ignored","upstream/master:src/cpu/o3/lsq_unit_impl.hh:2975-3027;3180-3255","Candidate behavior is the same source path and has no explicit message generation","40b4039:src/cpu/o3/lsq_unit_impl.hh:2975-3027;src/mem/packet.hh:443-456","retained_with_identity_risk","false","Late response can overlap a reused LQ index","Squash before response plus generation-like external trace token"
"Nighthawk S-MSHR","No S-MSHR capacity epoch or terminal-action lifecycle","upstream/master:src/mem/protocol/MESI_Three_Level-L0cache.sm:169-177","Nighthawk target has S-MSHR occupancy epoch owner and terminal paths","8ff168d3:src/mem/protocol/MESI_Two_Level-L1cache.sm:195-209;2049-2125;2436-2468","target_only","true","Adding this to SDO would create a hybrid rather than an exact SDO baseline","Keep mechanisms separate and compare normalized lifecycle totals"
"Nighthawk Stealth cache state","No quarantined cache-entry state","upstream/master:src/mem/protocol/MESI_Three_Level-L1cache.sm:68-93","Nighthawk target has tainted states Stealth metadata safe reclaim and promotion","8ff168d3:src/mem/protocol/MESI_Two_Level-L1cache.sm:75-118;3435-3539;src/mem/ruby/structures/CacheMemory.cc:747-897","target_only","true","Equating SDO candidate data with a Stealth hit changes the storage substrate","Do not map states; use mechanism-specific tests"
"owner and generation","Packet sequence and LQ index identify work but no lifecycle generation is carried through Ruby","upstream/master:src/mem/packet.hh:443-456","Nighthawk packet TBE and cache entry retain request generation","8ff168d3:src/mem/packet.hh:386-400;814-833;src/mem/protocol/MESI_Two_Level-L1cache.sm:195-209","target_only","true","SDO late-response correctness cannot be inferred from Nighthawk guards","Add explicit directed alias detection before considering new metadata"
"statistics","Prediction target and target-versus-hit matrix includes L0 L1 L2 memory","upstream/master:src/cpu/o3/commit.hh:530-600","Candidate keeps legacy four-level counter names after level fold","40b4039:src/cpu/o3/commit.hh:530-600","schema_retained_semantics_changed","true","Raw counters can report misleading impossible or duplicated levels","Define logical-to-physical stat dictionary and reconcile totals"
"configuration","README builds X86_MESI_Three_Level with SDO scheme predictor and TLB controls","upstream/master:README:29-35;43-92","MICRO26 selects X86_MESI_Two_Level and translates SDO options","40b4039:exp_script/README_MICRO26.md:1-7;47-68","candidate_integration","false","Run scripts are not build or semantic validation evidence","Dry run manifest then one hello run per scheme"
"checkpoint and ISA","x86 Ruby O3 and legacy SDO checkpoint assumptions","upstream/master:README:17-35","x86 Ruby O3 scripts reuse sparespec executable suffix and external checkpoints","40b4039:exp_script/README_MICRO26.md:47-52;71-79;exp_script/spec17_MICRO26.sh:109-135","nominally_compatible","false","Matching ISA and filename suffix does not prove serialized checkpoint or workload ABI compatibility","Restore smoke test and compare output committed instructions and binary hashes"
"HPCA27 cache timing fields","Reference RubyCache exposes one-bank one-cycle arrays and raw issue intervals where zero resolves to access latency","4dac93b:src/mem/ruby/structures/RubyCache.py:47-55;src/mem/ruby/structures/BankedArray.cc:37-52","Candidate exposes the same fields; both L1s bind 1/1/1/1/0/0 and L2 binds the six reviewed outer selectors","src/mem/ruby/structures/RubyCache.py;src/mem/ruby/structures/BankedArray.cc;configs/ruby/MESI_Two_Level.py:43-55;86-109;174-190","source_bound_runtime_unvalidated","false","A source match does not prove generated Params compile or emitted config and bank occupancy match","Compile Two-Level then compare all three cache sections in config.ini and run a resource-stall timing probe"
"HPCA27 cache STT visibility","Reference marks both private L1 caches is_stt=true and shared L2 false for the reviewed STT run","4dac93b:src/mem/ruby/structures/RubyCache.py:59;configs/ruby/MESI_Two_Level.py:94-118;293-309","Candidate explicitly binds both private caches to bool(STT) and shared L2 false without adding Nighthawk cache state","src/mem/ruby/structures/RubyCache.py;configs/ruby/MESI_Two_Level.py:80;86-109;174-190","source_bound_runtime_unvalidated","false","The field is evidence-visible but deliberately does not import Nighthawk taint-cache behavior into SDO","Require emitted is_stt true true false and retain mechanism-specific state audit"
"HPCA27 DRAM static pipeline latency","Reference base controller uses 10ns frontend and 10ns backend static latency","4dac93b:src/mem/DRAMCtrl.py:110-115","Candidate base controller now uses the same 10ns and 10ns non-mechanism values","src/mem/DRAMCtrl.py:110-115","source_matched_runtime_unvalidated","false","A source default can be overridden or represented differently in the instantiated controller","Compare emitted DRAMCtrl values and exhaustive non-mechanism config projection"
"HPCA27 branch predictor schema","Reference stores useIndirect and indirectHash indirectSets indirectWays indirectTagSize and indirectPathLength directly on TournamentBP","4dac93b:src/cpu/pred/BranchPredictor.py:35-52;74-85","Candidate binds the same numeric intent on TournamentBP plus one nested SimpleIndirectPredictor child","configs/common/SDOConfig.py:32-56;136-173;src/cpu/pred/BranchPredictor.py:34-70","representation_gap_adapter_required","false","The current exhaustive checker sees an extra child and missing direct fields; numeric settings alone do not prove algorithmic equivalence","Implement and test the exact fail-closed adapter and bounded predictor semantic review in docs/hpca27_branch_predictor_evidence_adapter.md before claiming parity"
"HPCA27 outer runner identity","Reference gate requires every cache selector and canonical absolute non-symlink source binary and manifest paths","HPCA27 parity checker contract: scripts/parity_evidence.py:725-842","Candidate requires all fourteen cache selectors passes six LLC timing selectors inward and rejects noncanonical execution identity paths before launch","exp_script/weekend_campaign/run_nighthawk_checkpoint_job.py;tests/nighthawk_sdo_port/test_hpca27_parity_profile.py","source_hardened_artifact_unvalidated","false","No generated job or artifact has yet shown that every producer supplies the new required options and canonical paths","Run dry-run job generation then artifact-bound outer-command and identity validation"
